,Unnamed: 0.3,Регион,Всего_постов,Тональность_Берт,Стандартное_отклонение_Берт,Доля_негативных_Берт,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Мигранты_всех_национальностей,Мигранты_всех_национальностей_доля,Мигранты_всех_национальностей_доля_логарифм,Всего_указали,Казахи_доля,Кыргызы_доля,Таджики_доля,Туркмены_доля,Узбеки_доля,Казахи,Кыргызы,Таджики,Туркмены,Узбеки,Всего_мигрантов,Доля_мигрантов,Тональность,ВРП,Инфляция,ИЭМ,Процент_русских,Русский_регион,Распространенная_национальность,Процент_горожан,Мигранты_логарифм,Узбеки_логарифм,Таджики_логарифм,Киргизы_логарифм,Кыргызы_логарифм,Казахи_логарифм,Туркмены_логарифм,Дисперсия,Доля_негативных,Стандартное_отклонение,Доля_занятых_средний_малый_бизнес,Индекс_рынка_труда,Высокопроизводительные_23,Отрасль,НТР,Преступления_23,Рост_преступлений_23,Тяжкие_преступления_23,Рост_тяжких_преступлений_23,Преступления_24,Рост_преступлений_24,Тяжкие_преступления_24,Рост_тяжких_преступлений_24,Уровень_жизни_23,Преступность,Уровень_жизни_24,Средний_уровень_жизни,Доля_негативных_логарифм,Стандартное_отклонение_логарифм,Моложе_трудоспособного,Трудоспособное,Старше_трудоспособного,Нагрузка_дети,Нагрузка_старики,Рождаемость,Безработица,ВРП_на_душу,ВРП_на_душу_обратный
0,0,Белгородская область,134,0.164,0.3714835124201342,83.6,0,0,0,3866,0.0027787381251352,-5.885758366150617,1391279,0.0001380025142333,5.390723212238523e-05,7.69076511612696e-05,3.809444403315223e-05,0.0001185959106692,192,75,107,53,165,592,0.04255077522193,-0.335483870967742,1311.2,109.11,0.091856326465014,0.9528712632817348,1,"Русские (великороссы, русаки, якутяне)",0.6524668189129924,-7.762227391035024,-9.039788552018708,-9.47290519145698,-9.828245912382576,-9.828245912382576,-8.88823865389115,-10.17544211236676,0.0643655913978494,0.8387096774193549,0.2537037473074638,35.4,70.93,341,Обрабатывающие производства,43.64,106.3,10.4,37.1,29.3,95.9,-10.6,33.8,-9.6,43.64,101.1,65.638,54.639,-0.1758906664636641,-1.3715880418613744,0.162,0.564,0.2739999999999999,0.287,0.485,1.0853333333333337,2.05,889768.6,1.123887716424248e-06
1,1,Брянская область,238,0.185,0.3885871845545089,81.5,1,1,1,2563,0.0023894428207172,-6.036695069624631,1072635,4.661417910099894e-05,2.796850746059937e-05,0.000234003179087,6.15307164133186e-05,0.000141707104467,50,30,251,66,152,549,0.051182368652890005,-0.2875,549.3,109.37,0.0808649868055433,0.9586877174710632,1,"Русские (великороссы, русаки)",0.6947854059449469,-7.577530354479303,-8.861748275142684,-8.36017585685698,-10.48443141432654,-10.48443141432654,-9.973605790560557,-9.695974053962274,0.1140322580645161,0.9375,0.3376866270146274,34.7,62.7,243,Обрабатывающие производства,31.22,122.2,3.9,31.4,19.2,123.6,0.2,35.2,11.3,31.22,122.9,55.436,43.328,-0.0645385211375711,-1.0856369525683052,0.155,0.5660000000000001,0.2789999999999999,0.274,0.493,1.129,2.1,546442.6,1.8300183770445424e-06
2,2,Владимирская область,88,0.17,0.3781534080237807,83.0,2,2,2,4780,0.0037213270968666,-5.593674927846457,1284488,7.084534849683298e-05,7.785203131520108e-05,0.0005356219754485,5.449642192064075e-05,0.0006983327208973,91,100,688,70,897,1846,0.14371484980785998,-0.18125,780.5,109.62,0.0830282799890307,0.9575555854812788,1,"Русские (великороссы, русаки, сибиряки, ведруссы, кривичи, якутяне)  ",0.7758027021052804,-6.545094338269167,-7.266814891273237,-7.532081915398768,-9.460700567343864,-9.460700567343864,-9.555011246815106,-9.817375511282595,0.1202822580645161,0.71875,0.3468173266498029,38.2,69.32,315,Обрабатывающие производства,40.47,120.6,-1.6,36.3,6.4,122.5,0.4,40.7,10.9,40.47,121.55,55.512,47.991,-0.3302416868705768,-1.0589570738191627,0.148,0.56,0.292,0.264,0.52,1.1196666666666666,1.85,677998.5,1.4749295168057155e-06
3,3,Воронежская область,130,0.138,0.3464101615137754,86.2,3,3,3,11502,0.0051476952628851,-5.269206186244129,2234398,0.0002738992784633,9.532769005342826e-05,0.000355800533298,0.0005048339642266,0.0003575907246605,612,213,795,1128,799,3547,0.15874521907019,-0.18125,1377.7,110.45,0.0851329866904119,0.9564422165329598,1," Русские (великороссы, древляне, русаки, сибиряки, якутяне)",0.6845618834438095,-6.445624943744217,-7.936121452751584,-7.941140283863511,-9.2581902328084,-9.2581902328084,-8.202750116005758,-7.591280966459831,0.0486693548387096,0.75,0.2206113207401417,39.6,74.13,327,Обрабатывающие производства,46.16,123.8,-7.1,33.8,0.2,111.4,-10.5,35.5,4.5,46.16,117.6,66.065,56.1125,-0.2876820724517809,-1.511352855527771,0.145,0.575,0.28,0.252,0.488,1.2006666666666668,1.85,655626.6,1.5252584321624535e-06
4,4,Ивановская область,476,0.227,0.4195235392680606,77.3,4,4,4,2874,0.0033030268551943,-5.712916002060276,870111,3.33290810023089e-05,0.0002252586164293,0.0003987996933724,0.0002080194366006,0.0003723662843016,29,196,347,181,324,1077,0.12377731117063999,-0.2,,109.97,0.0787423511037542,0.9597869457942538,1,"Русские (великороссы, русаки)",0.8191690701293775,-6.694441391542877,-7.895632552907061,-7.827051288752513,-8.398261409469153,-8.398261409469153,-10.30908023871276,-8.477879037433494,0.1353333333333333,0.5806451612903226,0.3678767909685705,47.0,56.54,212,Обрабатывающие производства,30.15,128.9,0.0,37.3,15.8,131.2,0.8,37.8,0.5,30.15,130.05,54.182,42.166,-0.5436154465889815,-1.0000072040242571,0.153,0.5529999999999999,0.294,0.277,0.53,1.3056666666666663,1.8000000000000005,478107.8,2.0915785101184294e-06
5,5,Калужская область,938,0.109,0.3114482300479487,89.1,5,5,5,18440,0.0180989790369851,-4.011899749097683,1018842,0.0002267279911899,0.000248321133208,0.0035766095233608,7.75390099740686e-05,0.0028983885627015,231,253,3644,79,2953,7160,0.7027586220434501,-0.165625,694.0,109.11,0.1828975498779253,0.9035017516233038,1,"Русские (великороссы, русаки, сибиряки)                     ",0.7499579401516397,-4.957911986253586,-5.843600364464371,-5.633339987828427,-8.300787757481121,-8.300787757481121,-8.391759535686905,-9.464729393741246,0.0261995967741935,0.75,0.1618628949889181,40.4,73.36,294,Обрабатывающие производства,46.42,124.2,-9.3,39.0,-2.5,114.5,-8.0,37.9,-3.0,46.42,119.35,65.941,56.1805,-0.2876820724517809,-1.8210056293157373,0.1639999999999999,0.573,0.263,0.286,0.459,1.3226666666666669,0.85,740704.7,1.3500656874460227e-06
6,6,Костромская область,174,0.23,0.4219004621945797,77.0,6,6,6,1430,0.0029850933206971,-5.814124269411147,479047,7.306172463244733e-05,0.0003757460123954,0.0005594440628998,0.0001607357941913,0.0004028832244017,35,180,268,77,193,753,0.15718708185209002,-0.1387096774193548,359.0,109.45,0.0763000378571535,0.9610682362187092,1,"Русские (великороссы, сибиряки)",0.73700118421415,-6.455488764865219,-7.816863803760404,-7.488567012154379,-7.886597141774994,-7.886597141774994,-9.524205931175675,-8.735748570811928,0.0811182795698924,0.6774193548387096,0.2848127096354593,49.8,58.61,306,Обрабатывающие производства,19.92,149.7,4.5,49.5,18.1,141.0,-6.7,48.1,-3.8,19.92,145.35,49.277,34.5985,-0.3894647667617233,-1.25592347391105,0.177,0.535,0.288,0.331,0.538,1.4623333333333337,1.8000000000000005,555311.3,1.8007917360946912e-06
7,7,Курская область,716,0.679,0.4669047011971501,32.1,7,7,7,3036,0.0031858462797689,-5.749037317318391,952965,4.30236157676305e-05,8.709658801739833e-05,0.0002707339723914,8.080044912457435e-05,0.0002308584260702,41,83,258,77,220,679,0.07125130513712,-0.4806451612903226,665.5,109.78,0.0797008552854541,0.9592796947663216,1,"Русские (ведруссы, великороссы)",0.6843083057264115,-7.246712328275271,-8.373705909481593,-8.214373870912398,-9.348492848037305,-9.348492848037305,-10.05376138912959,-9.423528033980215,0.1609462365591398,0.7419354838709677,0.4011810520938642,31.3,67.57,309,Обрабатывающие производства,35.41,121.2,-3.8,35.3,3.4,114.5,-6.1,35.8,0.9,35.41,117.85,60.45,47.93,-0.2984929885559965,-0.9133424520907338,0.16,0.555,0.285,0.288,0.514,1.233,1.5,702737.9,1.4230056469133083e-06
8,8,Липецкая область,292,0.192,0.3949683531626299,80.8,8,8,8,2076,0.0019885038424292,-6.220372760992924,1044001,0.000167624360513,8.81225209554397e-05,0.0002605361489117,1.628350930698342e-05,0.000170497920979,175,92,272,17,178,734,0.07030644606662001,-0.2290322580645161,,110.01,0.0652527002330336,0.9667772241243908,1,"Русские (ведруссы, великороссы, гураны, русаки)",0.6307504041202774,-7.260061976664189,-8.6767874549866,-8.252768938982804,-9.336782428229627,-9.336782428229627,-8.69378503135554,-11.02535766122245,0.1021290322580645,0.6774193548387096,0.3195763324435408,33.3,69.47,311,Обрабатывающие производства,32.92,125.9,1.8,35.4,17.7,121.3,-4.6,35.0,-1.9,32.92,123.6,63.416,48.168,-0.3894647667617233,-1.140759121513163,0.1669999999999999,0.561,0.272,0.298,0.485,1.1783333333333337,1.8,847501.2,1.1799393322392937e-06
9,9,Московская область,402,0.129,0.3361547262794322,87.1,9,9,9,73468,0.0093497788036895,-4.672402593320793,7857726,0.0001125007413086,0.0004886910029695,0.0012034015948125,2.927055486536435e-05,0.001418731067996,884,3840,9456,230,11148,25558,0.3252594961952,-0.34,7720.8,109.66,0.1508051563647125,0.9213760517929488,1,"Русские (ведруссы, гураны, древляне, кержаки, кривичи, кубанцы, кулугуры, русаки, русичи, сибиряки, чалдоны, челдоны, якутяне)",0.7850834021043642,-5.728302151400598,-6.557992420967384,-6.722603069923375,-7.62378016398757,-7.62378016398757,-9.092550746931732,-10.43892850064602,0.0721379310344827,0.8333333333333334,0.2685850536319599,49.2,92.36,301,Оптовая и розничная торговля,60.32,81.8,-5.1,25.9,0.3,80.5,-0.9,28.7,11.6,60.32,81.15,81.22,70.77,-0.1823215567939546,-1.3145876418918987,0.138,0.63,0.2319999999999999,0.219,0.369,1.3306666666666669,1.15,1072270.7,9.326003219149792e-07
10,10,Орловская область,172,0.174,0.3807886552931954,82.6,10,10,10,2567,0.0038157216054273,-5.568625482610004,672743,7.134968331145772e-05,8.621420066801141e-05,0.0002913445401884,0.0003195871231659,0.0002289135672909,48,58,196,215,154,671,0.09974091146247001,-0.24,373.8,109.81,0.0908780623530706,0.9534438226756252,1,"Русские (великороссы, русаки)",0.6664680798571296,-6.910349526509507,-8.382166061067624,-8.141004004250798,-9.358675652934716,-9.358675652934716,-9.547917652573243,-8.048480635353487,0.081103448275862,0.8333333333333334,0.2847866715207403,40.2,64.06,322,Обрабатывающие производства,27.28,113.6,-3.5,34.5,16.7,107.9,-6.1,35.2,1.1,27.28,110.75,55.887,41.5835,-0.1823215567939546,-1.2560148999750471,0.149,0.562,0.289,0.265,0.513,1.1693333333333331,1.85,572560.7,1.7465397118593715e-06
11,11,Рязанская область,592,0.088,0.282842712474619,91.2,11,11,11,2670,0.0028753023375023,-5.851597449391475,928598,7.969002733152558e-05,5.276772080060478e-05,0.0002293780516434,6.461353567420993e-05,0.0007225947072899,74,49,213,60,671,1067,0.11490440427396999,-0.2161290322580645,619.2,109.48,0.1055066928718185,0.9457177022697532,1,"Русские (великороссы, мещеряки, русаки, русичи,сибиряки)",0.713598897362193,-6.768824949484002,-7.232662063814094,-8.380139035076528,-9.84961090267513,-9.84961090267513,-9.437366107581584,-9.647086638563655,0.0393978494623656,0.7419354838709677,0.198488915212829,41.4,71.67,337,Обрабатывающие производства,44.17,81.2,-3.4,26.2,-2.6,78.4,-4.0,25.6,-2.8,44.17,79.80000000000001,61.209,52.6895,-0.2984929885559965,-1.6170220231706858,0.149,0.557,0.294,0.267,0.529,1.1133333333333335,2.0,638081.5,1.5671979206417989e-06
12,12,Смоленская область,179,0.223,0.4183300132670378,77.7,12,12,12,4220,0.0052080055190049,-5.257558314359668,810291,3.578961138652657e-05,6.664272465077361e-05,0.0003282771251315,2.221424155025787e-05,0.0005738679067149,29,54,266,18,465,832,0.10267916094341,-0.2451612903225806,483.3,110.3,0.1029078133283144,0.947078388018999,1,"Русские (великороссы, гураны, кривичи, русаки, сибиряки)",0.7259632539077757,-6.881316280568557,-7.463111315802534,-8.021652412608296,-9.61616467482545,-9.61616467482545,-10.23785289140325,-10.71477696349356,0.0778924731182795,0.6451612903225806,0.2790922304871269,41.7,62.31,283,Обрабатывающие производства,30.34,170.9,2.1,46.2,-7.3,147.8,-14.4,47.4,1.6,30.34,159.35000000000002,54.134,42.237,-0.4382549309311553,-1.2762129765660446,0.142,0.5660000000000001,0.292,0.252,0.515,1.053,1.65,640810.6,1.5605234994552213e-06
13,13,Тамбовская область,131,0.237,0.4266145801540308,76.3,13,13,13,2973,0.0032227327863468,-5.737525587948692,922509,0.0001008120245981,2.710000661240161e-05,0.0004401041073854,1.300800317395277e-05,0.0003241160790843,93,25,406,12,299,835,0.09051402208542,-0.335483870967742,473.8,110.8,0.0858291502957423,0.9560813830931976,1,Русские (великороссы),0.6014744794204626,-7.00742068609595,-8.034408837556175,-7.728499251345062,-10.51597658607859,-10.51597658607859,-9.20225291779387,-11.24994576115879,0.0876989247311828,0.7419354838709677,0.2961400424312504,30.8,60.82,243,Обрабатывающие производства,29.38,145.6,2.0,39.3,9.2,137.8,-6.4,40.4,2.0,29.38,141.7,54.353,41.8665,-0.2984929885559965,-1.2169228202205236,0.141,0.557,0.302,0.253,0.543,1.156,1.45,543703.9,1.8392363931912203e-06
14,14,Тверская область,253,0.126,0.3331666249791536,87.4,14,14,14,3330,0.0029950137069095,-5.810806470827701,1111848,5.576301796648463e-05,9.443736913678848e-05,0.0005045653722451,4.586957929501155e-05,0.0003192882480339,62,105,561,51,355,1134,0.10199235866772999,-0.2774193548387097,629.4,109.35,0.1131643689568038,0.9416354059502966,1,"Русские (великороссы, кержаки, кривичи, русаки, староверы)",0.7631947103288892,-6.888027569514483,-8.04941626432676,-7.591813148279522,-9.267573703644642,-9.267573703644642,-9.794399668757071,-9.98970842107784,0.0551397849462365,0.8709677419354839,0.2348186213787922,41.2,70.7,293,Обрабатывающие производства,34.81,151.9,-13.8,43.1,-16.5,153.2,-0.1,44.1,1.2,34.81,152.55,51.349,43.0795,-0.1381503384808171,-1.4489418867674435,0.143,0.5589999999999999,0.298,0.257,0.534,1.2506666666666666,2.1,622862.0,1.6054920672636956e-06
15,15,Тульская область,263,0.137,0.3449637662132068,86.3,15,15,15,6368,0.0044691796444587,-5.41055041192898,1424870,4.210910469025245e-05,0.0001200109483672,0.0007376111504909,0.0001136945826636,0.0008302511808094,60,171,1051,162,1183,2627,0.18436769670215,-0.196875,1004.3,109.14,0.1143951817170678,0.9409956465863912,1,"Русские (великороссы, горяне, русаки, сибиряки)",0.733265210689482,-6.295993349767667,-7.093782275474886,-7.212093768576258,-9.027927582950682,-9.027927582950682,-10.07524657723108,-9.081994804221512,0.0364415322580645,0.8125,0.190896653344328,33.4,76.78,329,Обрабатывающие производства,55.42,108.5,1.5,36.3,19.4,100.8,-7.7,32.7,-10.6,55.42,104.65,65.33,60.375,-0.2076393647782445,-1.6560230793400492,0.136,0.564,0.3,0.24,0.532,1.1383333333333332,1.9,778402.9,1.2846817502863876e-06
16,16,Ярославская область,130,0.185,0.3898717737923585,81.5,16,16,16,3104,0.0029557822967304,-5.82399192653444,1050145,7.713220555256655e-05,8.189345280889782e-05,0.0005018354608173,6.189621433230649e-05,0.0004370824981312,81,86,527,65,459,1218,0.11598398316422,-0.15625,748.3,110.29,0.0682744065446485,0.965215274909191,1,"Русские (великороссы,  древляне, кубанцы, русаки, русичи, сибиряки)",0.8107018368984907,-6.759473359567773,-7.73538859777701,-7.5972382592962,-9.410091511584024,-9.410091511584024,-9.469989653165094,-9.690051537941894,0.0502822580645161,0.625,0.2242370577413914,44.1,68.22,340,Обрабатывающие производства,47.99,151.0,-1.8,36.3,4.8,130.4,-14.1,37.4,2.5,47.99,140.7,59.367,53.6785,-0.4700036292457356,-1.4950514932365189,0.166,0.552,0.282,0.302,0.51,1.2746666666666666,2.2,713444.2,1.4016513134453963e-06
17,17,г. Москва,486,0.239,0.4266145801540308,76.1,17,17,17,59419,0.0047889011680537,-5.341454295117201,12407648,0.0002430758835195,0.0001882709760947,0.0003619541753602,5.835110731703543e-05,0.0007166547600318,3016,2336,4491,724,8892,19459,0.15683069023234,-0.1633333333333334,28507.4,110.09,0.1860472196867621,0.90207995692781,1,"Русские (великороссы, гураны, древляне,  кержаки, кривичи, кубанцы, кулугуры, мещеряки, молокане, русаки, русичи, сибиряки, скобари, чалдоны, челдоны, якутяне)",1.0,-6.457758647683673,-7.240916339557804,-7.923992941554127,-8.5776282706939,-8.5776282706939,-8.322136885514283,-9.749032222256067,0.0755057471264367,0.5666666666666667,0.2747830910489886,56.5,98.1,460,Оптовая и розничная торговля,81.15,102.2,-3.0,38.3,6.1,99.6,-2.3,43.3,13.4,81.15,100.9,84.085,82.6175,-0.5679840376059393,-1.291773252372124,0.133,0.614,0.253,0.218,0.411,1.4533333333333331,0.5,2463550.4,4.059182227406429e-07
18,18,Республика Карелия,134,0.41,0.4939635614091388,59.0,18,18,18,1061,0.0021996703604266,-6.119447766014154,482345,4.146409727477221e-05,0.0001368315210067,0.0003151271392882,9.122101400449884e-05,0.0001948812571914,20,66,152,44,94,376,0.07795250287657,-0.1791666666666667,391.4,108.57,0.2498955785660372,0.8639718588788079,1,"Русские (великороссы, древляне, русаки, сибиряки, скобари)",0.7947163964653428,-7.156825761238236,-8.543120122358255,-8.06253438378205,-8.896760162602035,-8.896760162602035,-10.09068263107412,-9.302225270709847,0.0860688405797101,0.4583333333333333,0.2933749147076316,47.1,56.61,390,Обрабатывающие производства,26.47,210.1,-6.4,47.9,-5.4,214.5,1.3,48.6,0.7,26.47,212.3,43.628,35.049,-0.7801585575495751,-1.2263039155391329,0.171,0.546,0.283,0.313,0.52,1.4876666666666667,3.1,825855.7,1.2108652879673774e-06
19,19,Республика Коми,43,0.163,0.3741657386773941,83.7,19,19,19,1243,0.0021018350051066,-6.164944503848649,591388,0.0001302021684579,0.0001285112312052,0.0001386568547214,6.763749010801707e-06,0.0001707846625227,77,76,82,4,101,340,0.05749186659180999,-0.11875,975.7,109.3,0.4643721056891915,0.6969030378591425,1,"Русские (великороссы, русаки, сибиряки, староверы, чалдоны, якутяне)",0.7746502352094523,-7.461281977749217,-8.675107078518339,-8.883508348095345,-8.959494255073267,-8.959494255073267,-8.946422173505916,-11.90393323423946,0.0925403225806451,0.5625,0.3042044092064498,33.7,63.34,395,Транспортировка и хранение,27.45,213.2,4.7,56.4,15.8,180.0,-16.3,54.2,-4.6,27.45,196.6,46.262,36.856,-0.5753641449035618,-1.190055404829214,0.188,0.574,0.238,0.328,0.415,1.5336666666666667,2.65,1450357.4,6.894852261932129e-07
20,20,Архангельская область,55,0.182,0.3898717737923585,81.8,20,20,20,1288,0.0013567506243896,-6.6026626848111,949327,1.264053376760589e-05,2.106755627934316e-05,0.000158006672095,3.160133441901474e-06,9.164386981514273e-05,12,20,150,3,87,272,0.028651876539900003,-0.3,700.2,108.04,0.0738236722178845,0.9623132391982996,1,"Русские (русаки, чалдоны)",0.7728703223637592,-8.157706525179561,-9.297600472820742,-8.752873297379535,-10.76777631792134,-10.76777631792134,-11.27860194168733,-12.66489630280722,0.1013333333333333,0.8387096774193549,0.3183289703016886,34.6,55.93,447,Обрабатывающие производства,39.7,179.1,2.9,48.1,-5.1,173.9,-3.7,49.1,1.1,39.7,176.5,41.326,40.513000000000005,-0.1758906664636641,-1.1446699331220125,0.179,0.5529999999999999,0.268,0.325,0.485,1.4243333333333332,0.25,1260674.9,7.932259141512217e-07
21,21,Вологодская область,187,0.444,0.4979959839195493,55.6,21,22,22,2380,0.0022962134668095,-6.076493831497485,1036489,5.113416543735631e-05,0.0001157754689147,0.0003261009041099,5.78877344573845e-06,0.0004544187154904,53,120,338,6,471,988,0.09532180273982,-0.2354838709677419,1024.2,110.02,0.064685796164132,0.9671047805961124,1,"Русские (ведруссы, великороссы, русаки, сибиряки, чалдоны,челдоны)",0.7241489744292006,-6.955666900415169,-7.696491504146701,-8.02830370268005,-9.06385785538152,-9.06385785538152,-9.881057684610846,-12.05959012893491,0.1676989247311828,0.6774193548387096,0.4095105917203886,43.9,63.55,344,Обрабатывающие производства,38.29,152.8,-0.9,41.6,6.7,145.8,-5.2,42.8,2.1,38.29,149.3,50.918,44.604,-0.3894647667617233,-0.8927925110164524,0.18,0.5539999999999999,0.266,0.324,0.479,1.3236666666666668,1.55,961567.4,1.0399687011019716e-06
22,22,Калининградская область,562,0.263,0.4404543109109048,73.7,22,23,23,14017,0.0077341487746309,-4.86210984954154,1812352,0.0002383642912635,0.0003244402853308,0.0006455699555053,3.972738187725122e-05,0.0020360283212091,432,588,1170,72,3690,5952,0.32841302351861,-0.1870967741935484,738.0,110.34,0.165926223432023,0.9129813038368976,1,"Русские (великороссы, гураны, кривичи, сибиряки, скобари, чалдоны, челдоны, якутяне)",0.7678350547493801,-5.718653430691661,-6.196754270170027,-7.345376979412836,-8.033409059306223,-8.033409059306223,-8.341710418960508,-10.13346988818853,0.0558279569892472,0.7741935483870968,0.2362794044965564,48.5,63.33,250,Обрабатывающие производства,28.92,126.6,3.3,36.0,29.1,125.0,-1.1,38.7,7.7,28.92,125.8,67.717,48.3185,-0.2559333741372006,-1.4427402568757337,0.163,0.588,0.249,0.277,0.424,1.213666666666667,1.85,760027.0,1.31574273019248e-06
23,23,Мурманская область,190,0.4,0.4909175083453431,60.0,23,24,24,1697,0.0028175327909679,-5.871893673797606,602300,8.301510874979246e-05,0.0002872322762742,0.0001477668935746,8.301510874979247e-06,0.0003569649676241,50,173,89,5,215,532,0.08832807570977,-0.196875,1148.7,108.15,0.1905313422860865,0.8993093655199123,1,"Русские (великороссы, русаки, сибиряки)",0.9309540782096132,-7.031867449690272,-7.937872910904171,-8.819874569299879,-8.155219344534318,-8.155219344534318,-9.396487933603666,-11.69907302659771,0.1145060483870968,0.78125,0.3383874235061002,33.7,68.66,395,Обрабатывающие производства,39.72,189.4,3.3,58.2,13.4,184.0,-3.2,57.2,-2.1,39.72,186.7,55.343,47.5315,-0.2468600779315257,-1.083563816520771,0.182,0.595,0.223,0.305,0.376,1.378,2.45,1714647.5,5.832102516698038e-07
24,24,Новгородская область,422,0.284,0.4516635916254485,71.6,24,25,25,1562,0.0030596314730695,-5.789460803907978,510519,6.855768345546395e-05,4.896977389675996e-05,0.0004505219198501,3.134065529392638e-05,0.0004093873097769,35,25,230,16,209,515,0.10087773422731999,-0.236,380.6,109.2,0.089258902477488,0.95427440899738,1,"Русские (великороссы, гураны, русаки, сибиряки, чалдоны)",0.7297540054886379,-6.899016233643908,-7.800848882342811,-7.705103825384597,-9.924307309439389,-9.924307309439389,-9.587835072818176,-10.37059441206781,0.2382333333333334,0.8,0.4880915214724933,38.6,65.76,279,Обрабатывающие производства,40.75,197.3,7.0,57.5,5.9,191.9,-3.5,58.3,0.6,40.75,194.6,51.424,46.087,-0.2231435513142097,-0.7172523467121567,0.1669999999999999,0.537,0.296,0.311,0.55,1.2086666666666668,0.95,712876.7,1.402767126489055e-06
25,25,Псковская область,506,0.506,0.5,49.4,25,26,26,2015,0.0034695676729273,-5.663725282719835,580764,4.821235476028128e-05,4.993422457314848e-05,0.0006009325646906,8.781536045622662e-05,0.0005596076891818,28,29,349,51,325,782,0.13465021936621002,-0.2592592592592592,357.0,108.47,0.0825406275073176,0.9577831821552454,1,"Русские  (великороссы, кривичи,  русаки, сибиряки, скобари, челдоны, якутяне)",0.7085483838660355,-6.610245016555314,-7.488274574770922,-7.417027834898248,-9.90480392711412,-9.90480392711412,-9.93989524692539,-9.340274124376268,0.2286609686609687,0.5925925925925926,0.4781850778317625,36.1,58.13,284,Обрабатывающие производства,20.44,151.7,2.3,49.2,23.0,158.4,3.3,49.0,-1.6,20.44,155.05,49.027,34.7335,-0.5232481437645479,-0.7377574293135474,0.155,0.5529999999999999,0.292,0.281,0.529,1.2940000000000005,2.15,494039.9,2.0241280107133046e-06
